#{"t_start": 1781278303.5499153, "env_id": "None"}
r,l,t
-27.733716,288,1451.367321
596.519002,288,1470.409689
488.238685,288,1485.012629
514.960575,288,1499.229962
-48.876249,288,1513.214936
186.582369,288,1527.358442
352.012821,288,1541.716549
470.637829,288,1556.008972
231.983755,288,1569.976876
1008.26891,288,1584.523917
-60.964489,288,1599.003841
555.198828,288,1613.623939
338.646308,288,1628.388679
225.22781,288,1642.88678
7.346079,288,1657.295346
-47.831613,288,1671.767052
292.796859,288,1685.986339
446.86004,288,1700.242467
246.228383,288,1714.458816
479.675143,288,1728.789253
604.853496,288,1743.285457
425.485229,288,1757.81942
98.523583,288,1772.435482
769.728334,288,1786.786046
-57.913398,288,1801.16222
365.840765,288,1815.475493
662.096293,288,1829.989439
173.382819,288,1844.582928
49.457074,288,1859.054243
668.704199,288,1873.713594
195.742385,288,1888.019672
93.792503,288,1902.339441
350.795229,288,1916.722866
504.824137,288,1930.842321
669.499984,288,1944.996926
869.911461,288,1964.131429
696.376069,288,1978.639236
669.182197,288,1992.837478
359.714744,288,2007.089341
428.179073,288,2021.284847
426.785547,288,2036.123001
-6.68275,288,2050.560508
214.119397,288,2064.981647
450.756334,288,2079.138355
176.339004,288,2093.790004
353.340533,288,2108.358983
700.846513,288,2123.018034
731.744473,288,2138.048689
632.544605,288,2152.607233
428.900809,288,2167.387303
518.187589,288,2181.958985
23.693644,288,2196.655778
225.935649,288,2211.362175
490.013274,288,2226.121012
469.86595,288,2240.816905
146.706482,288,2255.334403
483.862408,288,2269.900356
803.657279,288,2284.476872
34.172397,288,2298.74469
415.359862,288,2313.232077
180.441226,288,2327.526654
379.841936,288,2341.759026
679.197842,288,2356.083106
45.106614,288,2370.192044
228.356103,288,2384.436616
572.551927,288,2398.628892
522.168664,288,2412.738614
106.775955,288,2427.482065
208.898387,288,2441.960882
408.887247,288,2456.323715
302.120991,288,2476.084926
651.790682,288,2490.844024
269.594413,288,2505.988298
695.059075,288,2520.930524
531.096667,288,2535.551824
383.129282,288,2550.224307
358.242258,288,2564.82419
294.716985,288,2579.347057
190.107262,288,2593.784952
624.807159,288,2608.703536
482.737966,288,2623.414436
306.52557,288,2639.080723
553.353665,288,2653.850896
372.838961,288,2668.757862
603.044245,288,2683.704995
220.854474,288,2698.616485
-25.356472,288,2713.28244
78.601936,288,2728.18113
-29.386998,288,2742.986101
582.135066,288,2757.478077
357.548498,288,2772.23791
732.3824,288,2788.96032
531.81682,288,2805.702298
567.99547,288,2820.411183
34.494714,288,2834.847691
494.110865,288,2849.20655
655.692521,288,2863.464537
705.099319,288,2877.709742
285.25997,288,2892.14623
205.597447,288,2906.760552
342.111994,288,2921.040938
450.992489,288,2935.628105
730.17384,288,2950.032877
174.532919,288,2964.607877
51.784665,288,2978.917655
145.004761,288,2998.198991
225.109403,288,3012.89474
712.815607,288,3027.750506
568.323058,288,3042.469846
437.214724,288,3057.471756
460.963306,288,3072.432144
370.088181,288,3087.296908
674.312595,288,3102.428221
295.410153,288,3116.898513
253.66116,288,3131.588137
400.379244,288,3146.423031
707.002192,288,3160.774276
437.312375,288,3175.354529
490.496516,288,3189.807659
623.039656,288,3204.082958
732.223988,288,3218.605443
398.471628,288,3233.81219
528.296198,288,3248.370432
319.799173,288,3263.110003
210.650328,288,3277.886976
244.764791,288,3292.662502
8.127613,288,3307.716136
601.427344,288,3322.820126
516.823695,288,3337.707026
563.589834,288,3352.832699
244.769483,288,3367.418004
284.854624,288,3382.604254
565.063835,288,3397.648602
305.217919,288,3412.683877
371.567354,288,3427.719762
623.362828,288,3442.864215
232.563603,288,3457.813271
450.966333,288,3473.047271
275.762648,288,3488.194906
558.844142,288,3503.38064
399.245785,288,3523.421544
520.285862,288,3538.479296
397.928669,288,3553.36342
367.479581,288,3568.130211
520.719169,288,3583.042363
470.495899,288,3597.74462
-20.242753,288,3612.69058
50.511237,288,3627.091887
195.427025,288,3643.282708
260.395657,288,3661.227912
535.339629,288,3680.25691
580.91471,288,3701.034167
599.239115,288,3721.12167
1134.26296,288,3742.201166
295.877029,288,3761.967306
323.385004,288,3785.018475
279.285303,288,3805.410218
390.88022,288,3827.242281
-8.6164,288,3848.061782
423.448741,288,3870.208876
274.147928,288,3890.210761
796.636147,288,3907.450466
513.654378,288,3926.955558
13.283777,288,3947.298911
191.665871,288,3968.614619
290.589102,288,3989.084809
117.711739,288,4009.692179
388.973503,288,4032.686273
732.971062,288,4062.351423
279.997563,288,4085.590101
197.360792,288,4108.035233
12.843797,288,4130.391229
112.599451,288,4154.157212
137.17819,288,4177.870418
342.736913,288,4206.433181
776.158465,288,4225.376182
667.833198,288,4246.198264
718.698345,288,4265.006307
475.112339,288,4284.710637
165.466911,288,4303.813514
136.150775,288,4323.647799
823.079119,288,4342.340344
489.451747,288,4361.685437
454.562251,288,4380.50359
